iter	Passed	Remaining
0	0	97
1	1	89
2	2	87
3	3	84
4	4	84
5	5	82
6	6	81
7	7	80
8	7	79
9	8	77
10	9	76
11	10	76
12	11	75
13	12	75
14	13	74
15	14	73
16	14	73
17	15	72
18	16	71
19	17	70
20	18	69
21	19	69
22	20	68
23	21	67
24	22	66
25	23	66
26	24	65
27	25	64
28	26	63
29	26	62
30	27	62
31	28	61
32	29	60
33	30	59
34	31	58
35	32	57
36	33	57
37	34	56
38	35	55
39	36	54
40	37	53
41	38	53
42	39	52
43	40	50
44	40	50
45	41	49
46	42	48
47	43	47
48	44	46
49	46	46
50	47	45
51	48	44
52	49	43
53	49	42
54	51	41
55	52	40
56	53	40
57	54	39
58	54	38
59	55	37
60	56	36
61	57	35
62	58	34
63	59	33
64	60	32
65	61	31
66	62	30
67	63	29
68	64	29
69	65	28
70	66	27
71	67	26
72	68	25
73	69	24
74	70	23
75	71	22
76	72	21
77	73	20
78	74	19
79	75	18
80	76	17
81	77	16
82	78	15
83	79	15
84	79	14
85	80	13
86	81	12
87	82	11
88	83	10
89	84	9
90	85	8
91	86	7
92	87	6
93	88	5
94	89	4
95	90	3
96	91	2
97	92	1
98	93	0
99	94	0
