iter	Passed	Remaining
0	1	1848
1	3	1832
2	6	2131
3	8	2039
4	9	1985
5	11	1894
6	12	1823
7	14	1774
8	15	1737
9	17	1684
10	18	1657
11	20	1700
12	22	1723
13	24	1709
14	25	1687
15	27	1668
16	28	1664
17	30	1657
18	31	1651
19	33	1649
20	36	1699
21	38	1718
22	40	1723
23	42	1728
24	44	1735
25	46	1731
26	47	1726
27	50	1749
28	52	1753
29	54	1755
30	56	1751
31	57	1741
32	61	1789
33	62	1781
34	66	1832
35	68	1833
36	70	1831
37	71	1820
38	73	1812
39	75	1803
40	76	1799
41	79	1807
42	81	1821
43	84	1832
44	86	1834
45	87	1824
46	89	1816
47	91	1808
48	93	1805
49	95	1815
50	97	1814
51	99	1807
52	100	1802
53	102	1799
54	104	1794
55	106	1788
56	107	1783
57	110	1790
58	112	1790
59	114	1790
60	116	1786
61	117	1784
62	119	1784
63	121	1777
64	123	1778
65	125	1778
66	127	1778
67	129	1776
68	131	1772
69	133	1772
70	135	1766
71	136	1762
72	139	1768
73	141	1766
74	142	1763
75	144	1759
76	146	1754
77	148	1749
78	149	1747
79	151	1742
80	153	1746
81	155	1745
82	157	1742
83	159	1739
84	161	1737
85	163	1734
86	165	1733
87	167	1733
88	169	1732
89	171	1732
90	173	1733
91	175	1730
92	177	1728
93	178	1724
94	180	1718
95	182	1721
96	184	1720
97	187	1721
98	188	1719
99	190	1718
100	192	1714
101	194	1709
102	195	1706
103	198	1706
104	200	1707
105	202	1706
106	204	1704
107	206	1703
108	207	1699
109	209	1694
110	212	1703
111	215	1704
112	217	1704
113	218	1699
114	220	1694
115	221	1690
116	223	1686
117	225	1685
118	227	1685
119	229	1683
120	230	1674
121	232	1669
122	233	1665
123	235	1661
124	236	1656
125	238	1652
126	240	1651
127	242	1651
128	244	1650
129	247	1653
130	248	1651
131	250	1649
132	252	1647
133	254	1646
134	257	1647
135	259	1645
136	260	1644
137	262	1640
138	264	1637
139	265	1633
140	267	1630
141	269	1630
142	271	1627
143	273	1624
144	275	1621
145	276	1617
146	278	1614
147	279	1610
148	281	1607
149	283	1604
150	286	1609
151	288	1609
152	290	1606
153	291	1602
154	293	1599
155	295	1596
156	296	1593
157	298	1593
158	301	1596
159	303	1594
160	305	1591
161	307	1588
162	308	1586
163	312	1593
